,RIAD3210,RCON2170,RCON3360,RCONC410,RCONC411,RCON3123,RIAD4093,RIAD4340,RCON2215,RCON2385,RCON3545,Target,AsOfDate
3385,411728,49145,305888,5738,244689,0,767,0,40890,8123,1461,0,9/30/2010
3386,1932180,0,503,0,0,0,0,0,1329517,526929,12452,0,9/30/2010
3387,270574,50538,197727,2068,144684,0,1260,0,19715,6625,661,0,9/30/2010
3388,443895,105881,235644,2755,272842,0,823,0,39048,9276,3039,0,9/30/2010
3389,951771,40460,805413,13572,729034,0,4669,0,90808,17157,4266,0,9/30/2010
3390,67553,13615,46119,570,46633,0,0,0,7004,1578,1105,0,9/30/2010
3391,387262,88460,241437,5284,289684,0,625,0,37345,9344,341,0,9/30/2010
3392,169927,14511,133603,1919,109361,0,1607,0,18838,3925,493,0,9/30/2010
3393,42528,0,39250,152,19118,0,0,0,3187,254,311,0,9/30/2010
3394,138464,10499,115622,2590,102860,0,2824,0,11918,2649,-961,0,9/30/2010
3395,322790,51894,238170,6299,254827,0,6050,0,27442,6867,-3130,0,9/30/2010
3396,914846,54482,755156,29831,776891,0,6606,0,38673,21624,-11404,0,9/30/2010
3397,64340,17370,37690,401,25923,0,286,0,7587,1050,516,0,9/30/2010
3398,53550,11805,33796,337,32561,0,58,0,5244,1220,312,0,9/30/2010
3399,454016,27710,335621,4259,282543,0,140,0,50736,10615,1444,0,9/30/2010
3400,143152,0,500,0,0,0,0,0,113645,61941,3832,0,9/30/2010
3401,373376,44090,290694,9028,269371,0,3481,0,24715,6185,109,0,9/30/2010
3402,39949,4751,29850,469,30357,0,0,0,4324,935,273,0,9/30/2010
3403,147448,50012,83515,1863,94783,0,210,0,13649,3672,496,0,9/30/2010
3404,86021,32082,42277,547,47879,0,0,0,9657,1986,691,0,9/30/2010
3405,204899,56218,126536,2049,119860,0,72,0,17422,5646,913,0,9/30/2010
